State,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Cairo,Cairo,2014-01-01,69.93428306022466,214.10251902713622,23.52327233067984,149.65891207836316,91.7865577367928,9.526151772577627,2.943039771036814,17.837202333379253,44.93952738530536,0.9542259772304511,2.159705925447897,1.2419833828072133,158.0,Unhealthy,23.755248171097058,37.4364950318108,0.03780044645937976,3.8359280093611687,7.843483551404014,22321.359771179374
Cairo,Cairo,2014-02-01,57.23471397657631,160.38198873391454,41.455696078109156,114.58071146626169,82.69929599851655,15.249634433590382,3.2931563635938033,25.208953833801694,67.59496189808154,0.7845214429243796,1.0426779057516649,0.9331623156875389,152.0,Unhealthy,23.731004191213852,52.52243855573078,0.02540472229452449,1.3777838540863598,10.733335194987108,18106.251990514273
Cairo,Cairo,2014-03-01,102.13527906681938,577.4399828037283,90.07549292330532,132.67416515750284,118.05731878282833,13.515160729400703,2.114318070795024,42.88988267173084,55.57278873123054,2.9952852561824104,6.326900982910664,2.345337393920157,175.0,Unhealthy,8.702337681247467,68.09115534610491,0.09718752990910519,2.1658653019307534,9.118649536338651,19445.666945523135
Cairo,Cairo,2014-04-01,126.6448359794247,649.4070122365889,103.40277106430914,261.8384174873261,193.5778299323667,11.868592926854113,7.450292952329376,30.637361100124224,79.66278690158826,3.0510960049310767,5.380913575056842,3.7623234227365083,188.0,Unhealthy,11.295363511631995,41.22147323318735,0.09345069186612086,5.492249906730984,8.940164665446096,20243.20637875361
Cairo,Cairo,2014-05-01,77.44370550774659,336.04418043743783,48.06656068259427,114.48825580875899,86.15405274041724,16.446685618658165,4.977884789449301,30.999391505825667,67.48388578284633,2.6765704820563294,3.886329955882328,1.8390367649892532,162.0,Unhealthy,20.03565838406911,57.049900910897584,0.06128022843090702,1.230869471756861,11.95435460307851,18702.38086781288
Cairo,Cairo,2014-06-01,55.317260861016386,171.54839313859884,42.77374733628499,113.09500414301056,82.61043828402664,16.87738023272084,1.8327910735549804,27.19358585289511,93.5098375682644,0.6504127039552657,1.1203758614109702,0.8029244479065032,150.0,Unhealthy for Sensitive Groups,25.40169830310034,26.61161586512296,0.027135583052017125,3.0452434939224218,9.747054340949148,17866.274508011997
Cairo,Cairo,2014-07-01,91.58425631014782,264.1024104700837,79.34303921772607,118.30557481931237,104.75376543963039,14.753452333570701,3.1401732545491483,16.26350207456892,63.14088807675893,2.4144849024458632,5.600528693935753,1.227395990921967,170.0,Unhealthy,19.78390640405057,10.0,0.03212015866864655,4.005685898358325,6.613522367845835,20162.409480213413
Cairo,Cairo,2014-08-01,75.34869458305818,152.1358652575059,32.3705938777458,122.6839218735898,82.17889334820788,17.843940816332765,1.775431994175145,36.58582984965226,111.36254009582547,1.1124442258316936,1.6662961636170526,0.5747566803707516,161.0,Unhealthy,17.663693231040213,55.13415784646262,0.03407180481770338,3.0737017739143235,7.453183423678,18953.955222430144
Cairo,Cairo,2014-09-01,50.610512281300956,169.67003516121352,39.271485512363164,94.08288433356506,70.67781601834197,12.93351506024293,3.2501195747204266,20.6650551500391,65.1276535489517,1.5758745098648206,3.205448112198336,0.9110143480705631,138.0,Unhealthy for Sensitive Groups,14.128915481334083,51.89350194282018,0.03916832181948316,1.96598997648148,8.52588624129191,19201.9447857537
Cairo,Cairo,2014-10-01,127.53216156909474,359.44498827511217,58.908147976295936,210.82992966395832,142.96118114933475,16.999760305124063,7.859439245501104,18.602569485782194,86.34317851679101,2.515883048198557,5.512080967809076,2.3749226604887665,188.0,Unhealthy,23.76612874257748,42.222491843027555,0.08703116017464389,2.916836639482381,8.444846022048123,25399.51340160969
Cairo,Cairo,2014-11-01,91.31696305875136,301.6145319879306,75.44319411786446,187.8632579629004,139.5524196028054,14.788881154959672,3.7404743826956732,38.15331749499533,77.50571800515777,1.565398394974366,2.5471622009394332,1.0644780405399086,169.0,Unhealthy,6.206862910361314,30.074980068379475,0.023556575712326614,1.2520273389209864,8.070577491945196,19047.231169273997
